zip,city,pop,state,loc
1267,WILLIAMSTOWN,8220,MA,"[-73.20364, 42.708883]"
1270,WINDSOR,770,MA,"[-73.04661, 42.509494]"
1301,LEYDEN,18968,MA,"[-72.601847, 42.601222]"
1330,ASHFIELD,1535,MA,"[-72.810998, 42.523207]"
1331,NEW SALEM,14077,MA,"[-72.214644, 42.592065]"
1337,LEYDEN,2426,MA,"[-72.563439, 42.683784]"
1338,BUCKLAND,16,MA,"[-72.764124, 42.615174]"
1339,HAWLEY,1325,MA,"[-72.880162, 42.621802]"
1340,COLRAIN,2050,MA,"[-72.726508, 42.67905]"
1341,CONWAY,1524,MA,"[-72.702473, 42.513832]"
1342,DEERFIELD,1281,MA,"[-72.607234, 42.540636]"
1344,ERVING,635,MA,"[-72.416638, 42.604957]"
1346,HEATH,174,MA,"[-72.839101, 42.685347]"
1349,MILLERS FALLS,1893,MA,"[-72.494626, 42.576206]"
1350,MONROE,97,MA,"[-72.960156, 42.723885]"
1351,MONTAGUE,1699,MA,"[-72.532837, 42.542864]"
1355,NEW SALEM,456,MA,"[-72.306241, 42.514643]"
1360,NORTHFIELD,2829,MA,"[-72.450995, 42.688705]"
1364,NEW SALEM,8544,MA,"[-72.305867, 42.591231]"
1366,PETERSHAM,1131,MA,"[-72.189349, 42.489761]"
1367,ROWE,630,MA,"[-72.925776, 42.695289]"
1370,SHELBURNE FALLS,4525,MA,"[-72.739059, 42.602203]"
1373,SOUTH DEERFIELD,5118,MA,"[-72.615268, 42.475616]"
1375,SUNDERLAND,3399,MA,"[-72.567569, 42.453947]"
1376,TURNERS FALLS,7100,MA,"[-72.54701, 42.606521]"
1379,WENDELL,393,MA,"[-72.400851, 42.565644]"
1420,FITCHBURG,41194,MA,"[-71.803133, 42.579563]"
1430,ASHBURNHAM,5433,MA,"[-71.92666, 42.649614]"
1431,ASHBY,2649,MA,"[-71.817369, 42.674462]"
1432,AYER,6871,MA,"[-71.578763, 42.55914]"
1433,FT DEVENS,8480,MA,"[-71.621819, 42.532416]"
1436,BALDWINVILLE,4386,MA,"[-72.064647, 42.593568]"
1440,GARDNER,20125,MA,"[-71.9898, 42.57405]"
1450,GROTON,7504,MA,"[-71.558371, 42.612351]"
1451,HARVARD,4445,MA,"[-71.575293, 42.498565]"
1452,HUBBARDSTON,2797,MA,"[-72.001159, 42.486538]"
1453,LEOMINSTER,38145,MA,"[-71.756308, 42.52744]"
1460,LITTLETON,7066,MA,"[-71.487667, 42.540132]"
1462,LUNENBURG,9117,MA,"[-71.726642, 42.58843]"
1463,PEPPERELL,10178,MA,"[-71.593392, 42.668888]"
1464,SHIRLEY CENTER,6118,MA,"[-71.646444, 42.558653]"
1468,TEMPLETON,2058,MA,"[-72.064971, 42.545976]"
1469,TOWNSEND,6112,MA,"[-71.689646, 42.652511]"
1473,WESTMINSTER,6191,MA,"[-71.909599, 42.548319]"
1474,W TOWNSEND,2452,MA,"[-71.74057, 42.670404]"
1475,WINCHENDON,8805,MA,"[-72.047524, 42.678943]"
1501,AUBURN,15007,MA,"[-71.839144, 42.205502]"
1503,BERLIN,2293,MA,"[-71.635634, 42.384438]"
1504,BLACKSTONE,8023,MA,"[-71.52691, 42.028708]"
1505,BOYLSTON,3517,MA,"[-71.731042, 42.337727]"
1506,BROOKFIELD,2968,MA,"[-72.098887, 42.199141]"
1507,CHARLTON,9576,MA,"[-71.966384, 42.137902]"
1510,CLINTON,13269,MA,"[-71.682847, 42.418147]"
1515,EAST BROOKFIELD,2033,MA,"[-72.048078, 42.219308]"
1516,EAST DOUGLAS,5594,MA,"[-71.726611, 42.060566]"
1518,FISKDALE,774,MA,"[-72.117764, 42.122762]"
1519,GRAFTON,4910,MA,"[-71.686848, 42.200371]"
1520,HOLDEN,12051,MA,"[-71.84142, 42.341983]"
1521,HOLLAND,747,MA,"[-72.154373, 42.040264]"
1522,JEFFERSON,2478,MA,"[-71.87058, 42.375519]"
1523,LANCASTER,6018,MA,"[-71.686831, 42.450984]"
1524,LEICESTER,6527,MA,"[-71.918829, 42.237047]"
1527,MILLBURY,12228,MA,"[-71.764438, 42.196779]"
1529,MILLVILLE,2236,MA,"[-71.579813, 42.033102]"
1531,NEW BRAINTREE,881,MA,"[-72.130642, 42.31977]"
1532,NORTHBOROUGH,11930,MA,"[-71.646372, 42.318242]"
1534,NORTHBRIDGE,4564,MA,"[-71.656366, 42.1494]"
1535,NORTH BROOKFIELD,4755,MA,"[-72.082129, 42.266455]"
1536,NORTH GRAFTON,5401,MA,"[-71.703691, 42.229726]"
1537,NORTH OXFORD,3031,MA,"[-71.885953, 42.16549]"
1540,OXFORD,9557,MA,"[-71.868677, 42.11285]"
1541,PRINCETON,3189,MA,"[-71.876245, 42.450812]"
1542,ROCHDALE,1154,MA,"[-71.906882, 42.199685]"
1543,RUTLAND,4936,MA,"[-71.948951, 42.376199]"
1545,SHREWSBURY,24146,MA,"[-71.720503, 42.284801]"
1550,SOUTHBRIDGE,17816,MA,"[-72.035347, 42.075024]"
1560,SOUTH GRAFTON,2719,MA,"[-71.692725, 42.176042]"
1562,SPENCER,11598,MA,"[-71.990617, 42.244103]"
1564,STERLING,6481,MA,"[-71.775192, 42.435351]"
1566,STURBRIDGE,7001,MA,"[-72.084233, 42.112619]"
1568,WEST UPTON,4682,MA,"[-71.608014, 42.173275]"
1569,UXBRIDGE,10364,MA,"[-71.632869, 42.074426]"
1570,DUDLEY HILL,3735,MA,"[-71.839467, 42.047574]"
1571,DUDLEY,22001,MA,"[-71.893228, 42.048894]"
1581,WESTBOROUGH,14132,MA,"[-71.617604, 42.267891]"
